,평균기온,최고기온,최저기온,평균운량,일강수량,대여율,Normalized 대여율,Normalized 최고기온
2021-05-16,18.4,20.8,14.8,10.0,66.9,6.207407407407407,0.0,0.5698630136986301
2021-05-17,15.3,16.7,14.2,9.0,3.1,148.30864197530863,0.3256360449417858,0.4575342465753425
2021-05-18,17.9,24.5,13.6,4.4,0.0,315.45432098765434,0.7086633846281379,0.6712328767123288
2021-05-19,19.9,26.6,12.4,2.6,0.0,330.5283950617284,0.7432067992407355,0.7287671232876712
2021-05-20,18.7,22.9,15.6,9.9,0.9,166.5456790123457,0.3674276354952085,0.6273972602739726
2021-05-21,16.0,18.2,14.2,9.5,6.9,194.5901234567901,0.4316936638604637,0.4986301369863014
2021-05-22,18.6,23.8,13.8,1.5,0.2,317.93333333333334,0.7143442344677854,0.6520547945205479
2021-05-23,19.5,25.1,14.3,6.9,0.0,285.40246913580245,0.6397972258648413,0.6876712328767124
2021-05-24,19.4,24.5,16.4,3.3,0.0,303.6074074074074,0.6815152595976312,0.6712328767123288
2021-05-25,15.3,19.3,11.9,5.3,8.3,230.74814814814815,0.5145525931949237,0.5287671232876713
2021-05-26,18.0,23.0,11.5,7.6,0.0,298.73333333333335,0.6703459392953761,0.6301369863013698
2021-05-27,15.8,18.7,13.9,6.5,8.9,183.38518518518518,0.40601667524261476,0.5123287671232877
2021-05-28,15.3,19.7,12.4,8.6,12.3,194.88395061728394,0.4323669916801032,0.5397260273972603
2021-05-29,15.4,19.1,12.8,5.1,0.3,155.71358024691358,0.3426050376400954,0.5232876712328768
2021-05-30,18.4,26.3,10.8,3.9,18.1,228.48395061728394,0.5093640082318194,0.7205479452054795
2021-05-31,19.9,23.8,16.5,7.4,4.0,284.77777777777777,0.638365696970986,0.6520547945205479
2021-06-01,20.2,23.9,15.9,8.1,3.2,272.358024691358,0.6099048656030309,0.6547945205479452
2021-06-02,23.2,29.7,16.6,3.4,0.0,321.54814814814813,0.7226278641144426,0.8136986301369863
2021-06-03,19.1,22.7,14.6,9.6,18.1,101.53827160493827,0.21845809906269933,0.6219178082191781
2021-06-04,18.5,23.6,13.3,2.6,0.0,325.52592592592595,0.7317432516559488,0.6465753424657534
2021-06-05,20.8,25.7,17.0,3.0,0.0,314.9827160493827,0.7075826651865316,0.7041095890410959
2021-06-06,23.0,28.2,18.4,3.8,0.0,286.93333333333334,0.6433053203873329,0.7726027397260273
2021-06-07,21.1,24.0,19.4,7.8,0.0,301.0962962962963,0.6757608529373509,0.6575342465753424
2021-06-08,23.6,29.5,18.8,5.4,0.1,319.89629629629627,0.7188425169603349,0.8082191780821918
2021-06-09,25.8,31.6,19.5,3.4,0.0,313.1432098765432,0.7033672935425701,0.8657534246575342
2021-06-10,24.9,29.8,20.5,8.5,6.1,203.8246913580247,0.4528553953348478,0.8164383561643835
2021-06-11,21.5,24.4,19.9,6.4,4.6,298.441975308642,0.6696782696927084,0.6684931506849314
2021-06-12,24.2,30.2,18.2,5.0,0.0,286.5654320987654,0.6424622460585405,0.8273972602739725
2021-06-13,24.8,29.7,20.9,3.5,0.0,255.80987654320987,0.5719834954582924,0.8136986301369863
2021-06-14,24.8,30.2,18.9,6.8,0.0,316.5851851851852,0.7112548480012042,0.8273972602739725
2021-06-15,22.5,25.3,21.5,7.0,1.9,241.6074074074074,0.5394374314367263,0.6931506849315069
2021-06-16,24.3,28.9,20.3,2.5,0.0,344.0641975308642,0.7742251446799262,0.7917808219178082
2021-06-17,21.9,25.0,19.6,9.4,0.0,285.8074074074074,0.6407251734482101,0.684931506849315
2021-06-18,20.0,21.4,19.0,9.8,6.3,195.04197530864198,0.4327291175662959,0.5863013698630136
2021-06-19,22.3,27.4,17.5,4.1,0.0,302.12098765432097,0.6781090129806314,0.7506849315068492
2021-06-20,22.9,29.0,17.6,3.1,0.0,283.4395061728395,0.6352989433722919,0.7945205479452054
2021-06-21,23.6,28.5,19.2,3.3,0.0,341.1111111111111,0.7674579171817006,0.7808219178082192
2021-06-22,22.8,28.6,19.7,6.8,0.0,308.1679012345679,0.6919659863444728,0.7835616438356164
2021-06-23,22.4,27.9,18.8,4.4,7.5,312.8740740740741,0.7027505478926482,0.7643835616438356
2021-06-24,23.0,28.0,18.5,3.0,0.0,332.62716049382715,0.7480162836667318,0.7671232876712328
2021-06-25,24.1,29.5,19.5,4.0,0.0,347.82716049382714,0.7828482673448891,0.8082191780821918
2021-06-26,22.8,26.7,19.9,7.3,4.5,261.26666666666665,0.5844881549658829,0.7315068493150685
2021-06-27,24.5,30.8,19.8,5.4,38.2,229.30617283950616,0.5112481944834156,0.8438356164383561
2021-06-28,23.7,29.2,21.0,8.1,0.1,262.66172839506174,0.5876850475549277,0.7999999999999999
2021-06-29,23.9,28.4,21.3,6.5,8.0,276.3135802469136,0.6189693291917913,0.7780821917808218
2021-06-30,24.3,28.8,21.0,6.1,6.0,301.7283950617284,0.6772093564821215,0.7890410958904109
2021-07-01,26.3,31.0,21.4,2.3,0.0,342.85185185185185,0.7714469601467918,0.8493150684931506
2021-07-02,27.1,31.8,23.6,5.8,0.0,340.1358024691358,0.7652229214778553,0.8712328767123287
2021-07-03,22.6,25.7,19.6,8.5,60.0,127.46666666666667,0.27787503548315584,0.7041095890410959
2021-07-04,21.4,23.1,19.8,9.9,21.4,84.64197530864197,0.17973892032494254,0.6328767123287672
2021-07-05,23.3,26.9,20.1,8.9,0.0,338.30123456790125,0.7610188662678373,0.736986301369863
2021-07-06,25.3,30.1,21.0,7.0,0.0,349.8172839506173,0.7874087902241281,0.8246575342465754
2021-07-07,26.4,29.1,23.9,9.4,12.7,297.98765432098764,0.6686371577699044,0.7972602739726028
2021-07-08,26.0,29.8,23.8,7.1,2.9,297.5530864197531,0.6676413115828745,0.8164383561643835
2021-07-09,25.5,29.2,23.6,6.5,0.0,329.54814814814813,0.7409604871029465,0.7999999999999999
2021-07-10,25.9,29.2,23.1,7.4,0.5,267.05925925925925,0.597762331981633,0.7999999999999999
2021-07-11,25.7,27.5,24.1,7.8,0.4,206.9925925925926,0.46011488770961645,0.7534246575342466
2021-07-12,28.1,32.5,23.8,6.6,0.0,315.4864197530864,0.7087369414487708,0.8904109589041096
2021-07-13,28.8,31.5,26.3,6.8,0.0,315.1432098765432,0.7079504492896961,0.863013698630137
2021-07-14,29.7,33.5,26.1,7.0,0.0,303.53333333333336,0.6813455130884785,0.9178082191780822
2021-07-15,29.1,34.5,25.9,5.1,0.0,255.51111111111112,0.5712988512047094,0.9452054794520548
2021-07-16,28.8,35.2,24.2,3.5,0.0,257.3530864197531,0.5755198810656427,0.9643835616438357
2021-07-17,29.1,32.8,24.7,4.8,0.0,259.037037037037,0.5793787850403832,0.8986301369863013
2021-07-18,29.6,34.1,25.7,5.6,0.0,231.61975308641976,0.5165499437859552,0.9342465753424658
2021-07-19,26.4,30.5,24.0,6.9,67.4,234.89382716049383,0.5240527394905096,0.8356164383561644
2021-07-20,27.9,31.8,23.6,7.6,0.0,296.40246913580245,0.6650045824740342,0.8712328767123287
2021-07-21,30.5,35.3,25.3,3.5,0.0,290.29382716049383,0.6510061536858989,0.9671232876712328
2021-07-22,31.2,35.9,26.5,4.0,0.0,283.14074074074074,0.6346142991187088,0.9835616438356164
2021-07-23,31.2,35.8,27.2,2.3,0.0,279.30123456790125,0.6258157717276214,0.9808219178082191
2021-07-24,31.7,36.5,26.9,3.0,0.0,226.6,0.5050467886823662,1.0
2021-07-25,31.5,35.9,27.2,4.9,0.0,199.89382716049383,0.4438475139158052,0.9835616438356164
2021-07-26,31.2,35.4,27.4,1.6,0.0,281.2641975308642,0.6303140542201708,0.9698630136986301
